airflow-init-1      | DB: postgresql+psycopg2://airflow:***@postgres/airflow
airflow-init-1      | Performing upgrade to the metadata database postgresql+psycopg2://airflow:***@postgres/airflow
airflow-init-1      | [2025-11-18T17:26:22.485+0000] {migration.py:215} INFO - Context impl PostgresqlImpl.
airflow-init-1      | [2025-11-18T17:26:22.486+0000] {migration.py:218} INFO - Will assume transactional DDL.
airflow-init-1      | [2025-11-18T17:26:22.487+0000] {migration.py:215} INFO - Context impl PostgresqlImpl.
airflow-init-1      | [2025-11-18T17:26:22.488+0000] {migration.py:218} INFO - Will assume transactional DDL.
airflow-init-1      | INFO  [alembic.runtime.migration] Context impl PostgresqlImpl.
airflow-init-1      | INFO  [alembic.runtime.migration] Will assume transactional DDL.
airflow-init-1      | INFO  [alembic.runtime.migration] Running stamp_revision  -> 686269002441
airflow-init-1      | Database migrating done!
airflow-init-1      | /home/airflow/.local/lib/python3.12/site-packages/flask_limiter/extension.py:333 UserWarning: Using the in-memory storage for tracking rate limits as no storage was explicitly specified. This is not recommended for production use. See: https://flask-limiter.readthedocs.io#configuring-a-storage-backend for documentation about configuring the storage backend.
airflow-init-1      | [2025-11-18T17:26:25.513+0000] {override.py:1454} INFO - Inserted Role: Admin
airflow-init-1      | [2025-11-18T17:26:25.518+0000] {override.py:1454} INFO - Inserted Role: Public
airflow-init-1      | [2025-11-18T17:26:25.521+0000] {override.py:951} WARNING - No user yet created, use flask fab command to do it.
airflow-init-1      | [2025-11-18T17:26:25.557+0000] {override.py:1858} INFO - Created Permission View: can edit on Passwords
airflow-init-1      | [2025-11-18T17:26:25.562+0000] {override.py:1909} INFO - Added Permission can edit on Passwords to role Admin
airflow-init-1      | [2025-11-18T17:26:25.567+0000] {override.py:1858} INFO - Created Permission View: can read on Passwords
airflow-init-1      | [2025-11-18T17:26:25.571+0000] {override.py:1909} INFO - Added Permission can read on Passwords to role Admin
airflow-init-1      | [2025-11-18T17:26:25.581+0000] {override.py:1858} INFO - Created Permission View: can edit on My Password
airflow-init-1      | [2025-11-18T17:26:25.585+0000] {override.py:1909} INFO - Added Permission can edit on My Password to role Admin
airflow-init-1      | [2025-11-18T17:26:25.589+0000] {override.py:1858} INFO - Created Permission View: can read on My Password
airflow-init-1      | [2025-11-18T17:26:25.592+0000] {override.py:1909} INFO - Added Permission can read on My Password to role Admin
airflow-init-1      | [2025-11-18T17:26:25.601+0000] {override.py:1858} INFO - Created Permission View: can edit on My Profile
